Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R01030	C00001[c] + C00670[c]  <=> C00080[c] + C00093[c] + C00114[c] 	IB49_01085 or IB49_03710	-1000.00	1000.00	  0.00
R01034	C00003[c] + C00116[c]  <=> C00004[c] + C00080[c] + C00184[c] 	IB49_18420	-1000.00	1000.00	  0.00
R01041	C00006[c] + C00116[c]  <=> C00005[c] + C00080[c] + C00577[c] 	IB49_13225	-1000.00	1000.00	  0.00
R01049	C00002[c] + C00117[c]  -> C00020[c] + C00080[c] + C00119[c] 	IB49_10425	  0.00	1000.00	  0.00
R01051	C00002[c] + C00121[c]  -> C00008[c] + C00080[c] + C00117[c] 	IB49_08685	  0.00	1000.00	  0.00
R01054	C00001[c] + C00301[c]  -> C00020[c] + 2 C00080[c] + C00117[c] 	IB49_03400	  0.00	1000.00	  0.00
R01055	C00106[c] + C00117[c]  <=> C00001[c] + C01168[c] 	IB49_17115	-1000.00	1000.00	  0.00
R01056	C00117[c]  <=> C00199[c] 	IB49_09400	-1000.00	1000.00	  0.00
R01057	C00620[c]  <=> C00117[c] 	IB49_13260 or IB49_03370 or IB49_12195 or IB49_09085	-1000.00	1000.00	  0.00
R01061	C00003[c] + C00009[c] + C00118[c]  <=> C00004[c] + C00080[c] + C00236[c] 	IB49_07370	-1000.00	1000.00	  0.00
R01066	C00673[c]  <=> C00084[c] + C00118[c] 	IB49_04300	-1000.00	1000.00	  0.00
R01067	C00085[c] + C00118[c]  <=> C00231[c] + C00279[c] 	IB49_16905	-1000.00	1000.00	  0.00
R01068	C00354[c]  <=> C00111[c] + C00118[c] 	IB49_09485	-1000.00	1000.00	  0.00
R01069	C03785[c]  <=> C00111[c] + C00118[c] 	IB49_09485	-1000.00	1000.00	  0.00
R01071	C00013[c] + C02739[c]  <=> C00002[c] + C00080[c] + C00119[c] 	IB49_07530 or IB49_07535	-1000.00	1000.00	  0.00
R01072	C00013[c] + C00025[c] + C03090[c]  <=> C00001[c] + C00064[c] + C00119[c] 	IB49_11735	-1000.00	  0.00	  0.00
R01073	C00013[c] + C04302[c]  <=> C00108[c] + C00119[c] 	IB49_02790	-1000.00	  0.00	  0.00
R01074	C00002[c] + C00080[c] + C00120[c]  <=> C00013[c] + C05921[c] 	IB49_02665	-1000.00	1000.00	  0.00
R01082	C00149[c]  <=> C00001[c] + C00122[c] 	IB49_12670 or IB49_11610	-1000.00	1000.00	  0.00
R01083	C03794[c]  <=> C00020[c] + C00122[c] 	IB49_11710	-1000.00	1000.00	  0.00
R01085	C00001[c] + C02514[c]  -> C00022[c] + C00080[c] + C00122[c] 	IB49_13750	  0.00	1000.00	  0.00
R01086	C03406[c]  <=> C00062[c] + C00122[c] 	IB49_05665	-1000.00	1000.00	  0.00
R01088	C00001[c] + C00003[c] + C00123[c]  -> C00004[c] + C00014[c] + 2 C00080[c] + C00233[c] 	IB49_03695	  0.00	1000.00	  0.00
R01090	C00026[c] + C00123[c]  <=> C00025[c] + C00233[c] 	IB49_05190	-1000.00	1000.00	  0.00
R01092	C00002[c] + C00984[c]  -> C00008[c] + C00080[c] + C00446[c] 	IB49_02510	  0.00	1000.00	  0.00
R01094	C00003[c] + C00124[c]  -> C00004[c] + C00080[c] + C03383[c] 	IB49_15210	  0.00	1000.00	  0.00
R01097	C00006[c] + C00124[c]  -> C00005[c] + C00080[c] + C03383[c] 	IB49_15210	  0.00	1000.00	  0.00
R01126	C00001[c] + C00130[c]  <=> C00009[c] + C00294[c] 	IB49_08200	-1000.00	1000.00	  0.00
R01127	C00001[c] + C00130[c]  <=> C04734[c] 	IB49_11750	-1000.00	1000.00	  0.00
R01130	C00001[c] + C00003[c] + C00130[c]  <=> C00004[c] + C00080[c] + C00655[c] 	IB49_10215	-1000.00	1000.00	  0.00
R01132	C00013[c] + C00130[c]  <=> C00119[c] + C00262[c] 	IB49_10525 or IB49_10520	-1000.00	  0.00	  0.00
R01135	C00044[c] + C00049[c] + C00130[c]  -> C00009[c] + C00035[c] + 2 C00080[c] + C03794[c] 	IB49_10010	  0.00	1000.00	  0.00
R01137	C00002[c] + C00206[c]  <=> C00008[c] + C00131[c] 	IB49_02820	-1000.00	1000.00	  0.00
R01138	C00022[c] + C00131[c]  <=> C00074[c] + C00080[c] + C00206[c] 	IB49_05580 or IB49_07195	-1000.00	1000.00	  0.00
R01148	C00026[c] + C00133[c]  <=> C00022[c] + C00217[c] 	IB49_05190	-1000.00	1000.00	  0.00
R01150	C00002[c] + 2 C00133[c]  -> C00008[c] + C00009[c] + C00080[c] + C00993[c] 	IB49_11375	  0.00	1000.00	  0.00
R01152	C00001[c] + C00080[c] + C00436[c]  -> C00011[c] + C00014[c] + C00134[c] 	IB49_15035	  0.00	1000.00	  0.00
R01155	C00026[c] + C00134[c]  <=> C00025[c] + C00555[c] 	IB49_11235	-1000.00	1000.00	  0.00
R01157	C00001[c] + C00179[c]  -> C00086[c] + C00134[c] 	IB49_09575	  0.00	1000.00	  0.00
R01158	C00001[c] + 2 C00003[c] + C00860[c]  -> 2 C00004[c] + 3 C00080[c] + C00135[c] 	IB49_07525	  0.00	1000.00	  0.00
R01163	C00001[c] + C00003[c] + C01929[c]  -> C00004[c] + 2 C00080[c] + C00135[c] 	IB49_07525	  0.00	1000.00	  0.00
R01172	C00003[c] + C00010[c] + C01412[c]  <=> C00004[c] + C00080[c] + C00136[c] 	IB49_02205	-1000.00	1000.00	  0.00
R01175	C00016[c] + C00080[c] + C00136[c]  <=> C00877[c] + C01352[c] 	IB49_09520 or IB49_15415 or IB49_05755	-1000.00	  0.00	  0.00
R01176	C00002[c] + C00010[c] + C00246[c]  -> C00013[c] + C00020[c] + C00136[c] 	IB49_05325	  0.00	1000.00	  0.00
R01177	C00024[c] + C00136[c]  <=> C00010[c] + C05269[c] 	IB49_09535 or IB49_01860 or IB49_07135 or IB49_05740	-1000.00	  0.00	  0.00
R01183	C00003[c] + C00137[c]  <=> C00004[c] + C00080[c] + C00691[c] 	IB49_02295	-1000.00	1000.00	  0.00
R01185	C00001[c] + C01177[c]  -> C00009[c] + C00137[c] 	IB49_15620	  0.00	1000.00	  0.00
R01186	C00001[c] + C03546[c]  -> C00009[c] + C00137[c] 	IB49_15620	  0.00	1000.00	  0.00
R01187	C00001[c] + C04006[c]  -> C00009[c] + C00137[c] 	IB49_15620	  0.00	1000.00	  0.00
R01196	C00011[c] + C00024[c] + C00080[c] + 2 C00138[c]  <=> C00010[c] + C00022[c] + 2 C00139[c] 	IB49_16750 or IB49_16755	-1000.00	  0.00	  0.00
R01197	C00011[c] + C00080[c] + C00091[c] + 2 C00138[c]  <=> C00010[c] + C00026[c] + 2 C00139[c] 	IB49_16750 or IB49_16755	-1000.00	  0.00	  0.00
R01209	C04039[c]  -> C00001[c] + C00141[c] 	IB49_02040	  0.00	1000.00	  0.00
R01212	C00001[c] + C00006[c] + C00183[c]  -> C00005[c] + C00014[c] + 2 C00080[c] + C00141[c] 	IB49_03695	  0.00	1000.00	  0.00
R01213	C00010[c] + C00080[c] + C02504[c]  <=> C00001[c] + C00024[c] + C00141[c] 	IB49_05170	-1000.00	  0.00	  0.00
R01214	C00026[c] + C00183[c]  <=> C00025[c] + C00141[c] 	IB49_05190	-1000.00	1000.00	  0.00
R01220	C00006[c] + C00143[c]  <=> C00005[c] + C00445[c] 	IB49_03775	-1000.00	1000.00	  0.00
R01221	C00003[c] + C00037[c] + C00101[c]  -> C00004[c] + C00011[c] + C00014[c] + C00080[c] + C00143[c] 	IB49_03920 or IB49_03925 or IB49_03930 or IB49_15580 or IB49_07120 or IB49_03685	  0.00	1000.00	  0.00
R01224	C00006[c] + C00440[c]  <=> C00005[c] + C00080[c] + C00143[c] 	IB49_13860	-1000.00	1000.00	  0.00
R01226	C00001[c] + C00141[c] + C00143[c]  <=> C00101[c] + C00966[c] 	IB49_02660	-1000.00	1000.00	  0.00
R01227	C00001[c] + C00144[c]  <=> C00009[c] + C00387[c] 	IB49_08200	-1000.00	1000.00	  0.00
R01229	C00013[c] + C00144[c]  <=> C00119[c] + C00242[c] 	IB49_04760 or IB49_10525 or IB49_10520	-1000.00	  0.00	  0.00
R01230	C00002[c] + C00014[c] + C00655[c]  -> C00013[c] + C00020[c] + C00080[c] + C00144[c] 	IB49_11635	  0.00	1000.00	  0.00
R01231	C00001[c] + C00002[c] + C00064[c] + C00655[c]  -> C00013[c] + C00020[c] + C00025[c] + 2 C00080[c] + C00144[c] 	IB49_11635	  0.00	1000.00	  0.00
R01244	C00001[c] + C00147[c]  -> C00014[c] + C00262[c] 	IB49_11765 or IB49_02250	  0.00	1000.00	  0.00
R01249	C00005[c] + C00080[c] + C03564[c]  <=> C00006[c] + C00148[c] 	IB49_14860	-1000.00	1000.00	  0.00
R01251	C00006[c] + C00148[c]  <=> C00005[c] + 2 C00080[c] + C03912[c] 	IB49_03455	-1000.00	1000.00	  0.00
R01256	C00002[c] + C00010[c] + C00149[c]  <=> C00008[c] + C00009[c] + C04348[c] 	IB49_16275 or IB49_16270	-1000.00	1000.00	  0.00
R01279	C00016[c] + C00080[c] + C00154[c]  <=> C01352[c] + C05272[c] 	IB49_16825 or IB49_15415 or IB49_05755	-1000.00	  0.00	  0.00
R01280	C00002[c] + C00010[c] + C00249[c]  -> C00013[c] + C00020[c] + C00154[c] 	IB49_05325 or IB49_15425	  0.00	1000.00	  0.00
R01283	C00001[c] + C00155[c]  -> C00014[c] + C00080[c] + C00109[c] + C00283[c] 	IB49_04570	  0.00	1000.00	  0.00
R01286	C00001[c] + C02291[c]  -> C00014[c] + C00022[c] + C00080[c] + C00155[c] 	IB49_06650 or IB49_14660	  0.00	1000.00	  0.00
R01287	C00283[c] + C01077[c]  -> C00033[c] + C00080[c] + C00155[c] 	IB49_11840	  0.00	1000.00	  0.00
R01288	C00283[c] + C01118[c]  -> C00042[c] + C00080[c] + C00155[c] 	IB49_04570 or IB49_11840 or IB49_14655	  0.00	1000.00	  0.00
R01290	C00065[c] + C00155[c]  <=> C00001[c] + C02291[c] 	IB49_17970	-1000.00	1000.00	  0.00
R01291	C03539[c]  -> C00155[c] + C11838[c] 	IB49_06190	  0.00	1000.00	  0.00
R01293	C00001[c] + C00003[c] + C00633[c]  -> C00004[c] + 2 C00080[c] + C00156[c] 	IB49_05715	  0.00	1000.00	  0.00
R01294	C00001[c] + C00006[c] + C00633[c]  -> C00005[c] + 2 C00080[c] + C00156[c] 	IB49_01455	  0.00	1000.00	  0.00
R01300	C00002[c] + C00010[c] + C00156[c]  <=> C00013[c] + C00020[c] + C02949[c] 	IB49_13605	-1000.00	1000.00	  0.00
R01325	C00158[c]  <=> C00001[c] + C00417[c] 	IB49_16985	-1000.00	1000.00	  0.00
R01333	C00001[c] + C00003[c] + C00266[c]  -> C00004[c] + 2 C00080[c] + C00160[c] 	IB49_05715	  0.00	1000.00	  0.00
R01353	C00002[c] + C00163[c]  <=> C00008[c] + C02876[c] 	IB49_05785	-1000.00	  0.00	  0.00
R01357	C00002[c] + C00010[c] + C00164[c]  -> C00013[c] + C00020[c] + C00332[c] 	IB49_17760	  0.00	1000.00	  0.00
R01365	C00136[c] + C00164[c]  <=> C00246[c] + C00332[c] 	IB49_01875	-1000.00	1000.00	  0.00
R01373	C00080[c] + C00254[c]  -> C00001[c] + C00011[c] + C00166[c] 	IB49_04880	  0.00	1000.00	  0.00
R01374	C00001[c] + C02265[c] + C15602[c]  -> C00014[c] + C00080[c] + C00166[c] + C15603[c] 	IB49_17395	  0.00	1000.00	  0.00
R01385	C00167[c]  <=> C00617[c] 	IB49_09140	-1000.00	1000.00	  0.00
R01392	C00006[c] + C00258[c]  <=> C00005[c] + C00080[c] + C00168[c] 	IB49_06925 or IB49_03020 or IB49_17995 or IB49_12460	-1000.00	1000.00	  0.00
R01394	C00168[c]  <=> C01146[c] 	IB49_17990	-1000.00	1000.00	  0.00
R01397	C00049[c] + C00169[c]  -> C00009[c] + C00080[c] + C00438[c] 	IB49_15990 or IB49_16005	  0.00	1000.00	  0.00
R01398	C00077[c] + C00169[c]  -> C00009[c] + C00080[c] + C00327[c] 	IB49_14310	  0.00	1000.00	  0.00
R01401	C00001[c] + C00170[c]  -> C00147[c] + C03089[c] 	IB49_04580	  0.00	1000.00	  0.00
R01419	C00001[c] + C00003[c] + C00261[c]  -> C00004[c] + 2 C00080[c] + C00180[c] 	IB49_05715	  0.00	1000.00	  0.00
R01422	C00002[c] + C00010[c] + C00180[c]  <=> C00013[c] + C00020[c] + C00512[c] 	IB49_13605	-1000.00	1000.00	  0.00
R01424	C00001[c] + C01586[c]  <=> C00037[c] + C00180[c] 	IB49_08765	-1000.00	1000.00	  0.00
R01430	C00006[c] + C00181[c]  -> C00005[c] + C00080[c] + C02266[c] 	IB49_01385	  0.00	1000.00	  0.00
R01432	C00181[c]  <=> C00310[c] 	IB49_01375	-1000.00	1000.00	  0.00
R01434	C00001[c] + C00003[c] + C00183[c]  -> C00004[c] + C00014[c] + 2 C00080[c] + C00141[c] 	IB49_03695	  0.00	1000.00	  0.00
R01446	C00001[c] + C00003[c] + C00424[c]  -> C00004[c] + 2 C00080[c] + C00186[c] 	IB49_05715 or IB49_01455	  0.00	1000.00	  0.00
R01466	C00001[c] + C01102[c]  -> C00009[c] + C00188[c] 	IB49_06915 or IB49_00840	  0.00	1000.00	  0.00
R01470	C00001[c] + C01233[c]  <=> C00080[c] + C00093[c] + C00189[c] 	IB49_01085 or IB49_03710	-1000.00	1000.00	  0.00
R01473	C00935[c]  <=> C00190[c] 	IB49_09080	-1000.00	1000.00	  0.00
R01481	C00006[c] + C00800[c]  <=> C00005[c] + C00080[c] + C00191[c] 	IB49_13225	-1000.00	1000.00	  0.00
R01492	C00002[c] + C00853[c]  <=> C00194[c] + C00536[c] 	IB49_03055 or IB49_00970	-1000.00	1000.00	  0.00
R01505	C00003[c] + C04171[c]  -> C00004[c] + C00080[c] + C00196[c] 	IB49_00340	  0.00	1000.00	  0.00
R01512	C00002[c] + C00197[c]  <=> C00008[c] + C00236[c] 	IB49_07365	-1000.00	1000.00	  0.00
R01513	C00003[c] + C00197[c]  <=> C00004[c] + C00080[c] + C03232[c] 	IB49_03020	-1000.00	1000.00	  0.00
R01518	C00631[c]  <=> C00197[c] 	IB49_07355 or IB49_17740	-1000.00	1000.00	  0.00
R01521	C00006[c] + C00221[c]  -> C00005[c] + C00080[c] + C00198[c] 	IB49_16180	  0.00	1000.00	  0.00
R01525	C00006[c] + C01068[c]  <=> C00005[c] + C00080[c] + C00199[c] 	IB49_10690	-1000.00	1000.00	  0.00
R01528	C00006[c] + C00345[c]  <=> C00005[c] + C00011[c] + C00199[c] 	IB49_03505 or IB49_02195	-1000.00	1000.00	  0.00
R01529	C00199[c]  <=> C00231[c] 	IB49_16120	-1000.00	1000.00	  0.00
R01541	C00002[c] + C00204[c]  -> C00008[c] + C00080[c] + C04442[c] 	IB49_01640	  0.00	1000.00	  0.00
R01542	C00003[c] + C00204[c]  <=> C00004[c] + C00080[c] + C04349[c] 	IB49_18420	-1000.00	1000.00	  0.00
R01544	C03752[c]  -> C00014[c] + C00080[c] + C00204[c] 	IB49_07485	  0.00	1000.00	  0.00
R01547	C00002[c] + C00360[c]  <=> C00008[c] + C00206[c] 	IB49_10930	-1000.00	1000.00	  0.00
R01548	C00131[c] + C00475[c]  -> C00055[c] + C00080[c] + C00206[c] 	IB49_04610	  0.00	1000.00	  0.00
R01549	C00131[c] + C00299[c]  -> C00080[c] + C00105[c] + C00206[c] 	IB49_04610	  0.00	1000.00	  0.00
R01557	C00208[c]  <=> C01083[c] 	IB49_13340	-1000.00	1000.00	  0.00
R01558	C00002[c] + C00010[c] + C00209[c]  <=> C00013[c] + C00020[c] + C00313[c] 	IB49_13605	-1000.00	1000.00	  0.00
R01561	C00009[c] + C00212[c]  <=> C00147[c] + C00620[c] 	IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R01562	C00001[c] + C01367[c]  -> C00009[c] + C00212[c] 	IB49_00850 or IB49_08200	  0.00	1000.00	  0.00
R01567	C00002[c] + C00214[c]  -> C00008[c] + C00080[c] + C00364[c] 	IB49_09450	  0.00	1000.00	  0.00
R01569	C00001[c] + C00364[c]  <=> C00009[c] + C00214[c] 	IB49_08200	-1000.00	1000.00	  0.00
R01570	C00009[c] + C00214[c]  <=> C00178[c] + C00672[c] 	IB49_03360	-1000.00	1000.00	  0.00
R01579	C00001[c] + C00819[c]  -> C00014[c] + C00080[c] + C00217[c] 	IB49_02950 or IB49_02335 or IB49_11725	  0.00	1000.00	  0.00
R01582	C00026[c] + C02265[c]  <=> C00166[c] + C00217[c] 	IB49_05190	-1000.00	1000.00	  0.00
R01602	C00267[c]  <=> C00221[c] 	IB49_01380	-1000.00	1000.00	  0.00
R01616	C00002[c] + C00010[c] + C00811[c]  <=> C00013[c] + C00020[c] + C00223[c] 	IB49_05325	-1000.00	1000.00	  0.00
R01626	C00083[c] + C00229[c]  <=> C00010[c] + C01209[c] 	IB49_16175	-1000.00	1000.00	  0.00
R01639	C00002[c] + C00310[c]  -> C00008[c] + C00080[c] + C00231[c] 	IB49_01370	  0.00	1000.00	  0.00
R01641	C00118[c] + C05382[c]  <=> C00117[c] + C00231[c] 	IB49_16905	-1000.00	1000.00	  0.00
R01648	C00026[c] + C00334[c]  <=> C00025[c] + C00232[c] 	IB49_11235 or IB49_17520	-1000.00	1000.00	  0.00
R01655	C00001[c] + C00445[c]  -> C00080[c] + C00234[c] 	IB49_03775	  0.00	1000.00	  0.00
R01658	C00129[c] + C00235[c]  -> C00013[c] + C00341[c] 	IB49_03760 or IB49_02825	  0.00	1000.00	  0.00
R01664	C00001[c] + C00239[c]  -> C00009[c] + C00881[c] 	IB49_08200	  0.00	1000.00	  0.00
R01665	C00002[c] + C00239[c]  <=> C00008[c] + C00705[c] 	IB49_02910 or IB49_02655	-1000.00	1000.00	  0.00
R01684	C00026[c] + C00245[c]  <=> C00025[c] + C00593[c] 	IB49_17520	-1000.00	1000.00	  0.00
R01688	C00002[c] + C00246[c]  <=> C00008[c] + C02527[c] 	IB49_03690	-1000.00	  0.00	  0.00
R01698	C00003[c] + C00579[c]  <=> C00004[c] + C00080[c] + C00248[c] 	IB49_15580 or IB49_03685	-1000.00	1000.00	  0.00
R01708	C00006[c] + C00314[c]  <=> C00005[c] + C00080[c] + C00250[c] 	IB49_01780	-1000.00	1000.00	  0.00
R01714	C01269[c]  -> C00009[c] + C00251[c] 	IB49_02810	  0.00	1000.00	  0.00
R01715	C00251[c]  -> C00254[c] 	IB49_05915 or IB49_04880 or IB49_02800 or IB49_04885	  0.00	1000.00	  0.00
R01716	C00064[c] + C00251[c]  <=> C00025[c] + C11355[c] 	IB49_10550 or IB49_10555	-1000.00	1000.00	  0.00
R01718	C00001[c] + C00252[c]  <=> C00031[c] + C00267[c] 	IB49_13340	-1000.00	1000.00	  0.00
R01720	C00001[c] + C00006[c] + C00253[c]  <=> C00005[c] + C00080[c] + C01020[c] 	IB49_12410	-1000.00	1000.00	  0.00
R01724	C00008[c] + C00009[c] + C00013[c] + C01185[c]  <=> C00001[c] + C00002[c] + C00119[c] + C00253[c] 	IB49_01105	-1000.00	  0.00	  0.00
R01728	C00003[c] + C00254[c]  -> C00004[c] + C00011[c] + C01179[c] 	IB49_02755 or IB49_02760	  0.00	1000.00	  0.00
R01739	C00006[c] + C00257[c]  <=> C00005[c] + C00080[c] + C06473[c] 	IB49_06925	-1000.00	1000.00	  0.00
R01747	C00006[c] + C00258[c]  <=> C00005[c] + C00080[c] + C01146[c] 	IB49_15410	-1000.00	1000.00	  0.00
R01751	C00080[c] + C00898[c]  <=> C00011[c] + C00258[c] 	IB49_09780	-1000.00	1000.00	  0.00
R01752	C00001[c] + C00003[c] + C00577[c]  -> C00004[c] + 2 C00080[c] + C00258[c] 	IB49_05715	  0.00	1000.00	  0.00
R01764	C00080[c] + C02137[c]  <=> C00011[c] + C00261[c] 	IB49_12360	-1000.00	1000.00	  0.00
R01768	C00001[c] + C00003[c] + C00262[c]  <=> C00004[c] + C00080[c] + C00385[c] 	IB49_12410	-1000.00	1000.00	  0.00
R01771	C00002[c] + C00263[c]  -> C00008[c] + C00080[c] + C01102[c] 	IB49_06910	  0.00	1000.00	  0.00
R01775	C00006[c] + C00263[c]  <=> C00005[c] + C00080[c] + C00441[c] 	IB49_08370	-1000.00	1000.00	  0.00
R01781	C00003[c] + C01380[c]  <=> C00004[c] + C00080[c] + C00266[c] 	IB49_13915	-1000.00	1000.00	  0.00
R01782	C03826[c]  <=> C00022[c] + C00266[c] 	IB49_01615	-1000.00	1000.00	  0.00
R01818	C00275[c]  <=> C00636[c] 	IB49_12180 or IB49_12195	-1000.00	1000.00	  0.00
R01825	C00001[c] + C00003[c] + C00279[c]  -> C00004[c] + 2 C00080[c] + C03393[c] 	IB49_05520	  0.00	1000.00	  0.00
R01826	C00001[c] + C00074[c] + C00279[c]  -> C00009[c] + C04691[c] 	IB49_05915	  0.00	1000.00	  0.00
R01829	C00447[c]  <=> C00111[c] + C00279[c] 	IB49_09485	-1000.00	1000.00	  0.00
R01838	C00006[c] + C00535[c]  <=> C00005[c] + C00080[c] + C00280[c] 	IB49_00335	-1000.00	1000.00	  0.00
R01845	C00001[c] + C00447[c]  -> C00009[c] + C05382[c] 	IB49_09470	  0.00	1000.00	  0.00
R01855	C00001[c] + C00286[c]  -> C00013[c] + C00080[c] + C00362[c] 	IB49_05200	  0.00	1000.00	  0.00
R01857	C00002[c] + C00361[c]  <=> C00008[c] + C00286[c] 	IB49_02820	-1000.00	1000.00	  0.00
R01858	C00022[c] + C00286[c]  <=> C00074[c] + C00080[c] + C00361[c] 	IB49_05580 or IB49_07195	-1000.00	1000.00	  0.00
R01859	C00002[c] + C00100[c] + C00288[c]  -> C00008[c] + C00009[c] + C00080[c] + C00683[c] 	IB49_18380 or IB49_18360 or IB49_03790 or IB49_03530	  0.00	1000.00	  0.00
R01863	C00009[c] + C00294[c]  <=> C00262[c] + C00620[c] 	IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R01869	C00003[c] + C00337[c]  <=> C00004[c] + C00080[c] + C00295[c] 	IB49_16015	-1000.00	1000.00	  0.00
R01870	C00013[c] + C01103[c]  <=> C00119[c] + C00295[c] 	IB49_16025	-1000.00	1000.00	  0.00
R01876	C00009[c] + C00299[c]  <=> C00106[c] + C00620[c] 	IB49_03360	-1000.00	1000.00	  0.00
R01877	C00001[c] + C01368[c]  -> C00009[c] + C00299[c] 	IB49_00850 or IB49_08200	  0.00	1000.00	  0.00
R01878	C00001[c] + C00475[c]  <=> C00014[c] + C00299[c] 	IB49_04245	-1000.00	1000.00	  0.00
R01880	C00286[c] + C00299[c]  -> C00080[c] + C00105[c] + C00361[c] 	IB49_04610	  0.00	1000.00	  0.00
R01900	C00311[c]  <=> C00001[c] + C00417[c] 	IB49_16985	-1000.00	1000.00	  0.00
R01901	C00002[c] + C00312[c]  -> C00008[c] + C00080[c] + C03291[c] 	IB49_01370	  0.00	1000.00	  0.00
R01920	C00134[c] + C01137[c]  <=> C00080[c] + C00170[c] + C00315[c] 	IB49_09580 or IB49_00660	-1000.00	1000.00	  0.00
R01933	C00003[c] + C00010[c] + C00322[c]  -> C00004[c] + C00011[c] + C00527[c] 	IB49_15580 or IB49_15395 or IB49_03685	  0.00	1000.00	  0.00
R01934	C00003[c] + C05662[c]  <=> C00004[c] + C00011[c] + C00322[c] 	IB49_05165	-1000.00	1000.00	  0.00
R01939	C00026[c] + C00956[c]  <=> C00025[c] + C00322[c] 	IB49_13970	-1000.00	1000.00	  0.00
R01943	C00002[c] + C00010[c] + C01197[c]  <=> C00013[c] + C00020[c] + C00323[c] 	IB49_05325	-1000.00	1000.00	  0.00
R01954	C00002[c] + C00049[c] + C00327[c]  -> C00013[c] + C00020[c] + C00080[c] + C03406[c] 	IB49_05670	  0.00	1000.00	  0.00
R01968	C00001[c] + C00362[c]  -> C00009[c] + C00330[c] 	IB49_08200	  0.00	1000.00	  0.00
R01969	C00009[c] + C00330[c]  <=> C00242[c] + C00672[c] 	IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R01974	C00080[c] + C00331[c]  <=> C00011[c] + C00637[c] 	IB49_12360	-1000.00	1000.00	  0.00
R01976	C00006[c] + C01144[c]  <=> C00005[c] + C00080[c] + C00332[c] 	IB49_09530 or IB49_12160	-1000.00	1000.00	  0.00
R01977	C00006[c] + C03561[c]  <=> C00005[c] + C00080[c] + C00332[c] 	IB49_16180	-1000.00	1000.00	  0.00
R01986	C00001[c] + C00006[c] + C00555[c]  -> C00005[c] + 2 C00080[c] + C00334[c] 	IB49_05715	  0.00	1000.00	  0.00
R01990	C00001[c] + C01035[c]  -> C00086[c] + C00334[c] 	IB49_09575	  0.00	1000.00	  0.00
R01993	C00001[c] + C00337[c]  <=> C00080[c] + C00438[c] 	IB49_15995 or IB49_16005	-1000.00	1000.00	  0.00
R02003	C00129[c] + C00341[c]  -> C00013[c] + C00448[c] 	IB49_03760 or IB49_02825	  0.00	1000.00	  0.00
R02016	C00006[c] + C00342[c]  <=> C00005[c] + C00080[c] + C00343[c] 	IB49_07485	-1000.00	1000.00	  0.00
R02017	C00001[c] + C00206[c] + C00343[c]  <=> C00008[c] + C00342[c] 	IB49_03900 or IB49_14825 or IB49_14820 or IB49_05710	-1000.00	1000.00	  0.00
R02018	C00001[c] + C00343[c] + C01346[c]  <=> C00015[c] + C00342[c] 	IB49_03900 or IB49_14825 or IB49_14820 or IB49_05710	-1000.00	1000.00	  0.00
R02019	C00001[c] + C00343[c] + C00361[c]  <=> C00035[c] + C00342[c] 	IB49_03900 or IB49_14825 or IB49_14820 or IB49_05710	-1000.00	1000.00	  0.00
R02021	C00053[c] + C00342[c]  <=> C00054[c] + C00094[c] + C00343[c] 	IB49_12610	-1000.00	1000.00	  0.00
R02024	C00001[c] + C00343[c] + C00705[c]  <=> C00112[c] + C00342[c] 	IB49_03900 or IB49_14825 or IB49_14820 or IB49_05710	-1000.00	1000.00	  0.00
R02025	C00342[c] + C02989[c]  -> C00001[c] + C00073[c] + C00343[c] 	IB49_05855	 -0.00	1000.00	  0.00
R02026	C00320[c] + C00342[c] + C01077[c]  <=> C00033[c] + C00094[c] + C00155[c] + C00343[c] 	IB49_04570 or IB49_11840 or IB49_14655	-1000.00	1000.00	  0.00
R02034	C00006[c] + C00345[c]  <=> C00005[c] + C00080[c] + C01218[c] 	IB49_06925	-1000.00	1000.00	  0.00
R02059	C00001[c] + C00357[c]  -> C00033[c] + C00080[c] + C00352[c] 	IB49_03170	  0.00	1000.00	  0.00
R02060	C06156[c]  <=> C00080[c] + C00352[c] 	IB49_11115	-1000.00	1000.00	  0.00
R02061	C00129[c] + C00448[c]  -> C00013[c] + C00353[c] 	IB49_03760 or IB49_02825	  0.00	1000.00	  0.00
R02085	C00356[c]  <=> C00001[c] + C03231[c] 	IB49_05315	-1000.00	1000.00	  0.00
R02088	C00001[c] + C00360[c]  -> C00009[c] + C00559[c] 	IB49_08200	  0.00	1000.00	  0.00
R02090	C00002[c] + C00362[c]  <=> C00008[c] + C00361[c] 	IB49_16065	-1000.00	1000.00	  0.00
R02091	C00286[c] + C00475[c]  -> C00055[c] + C00080[c] + C00361[c] 	IB49_04610	  0.00	1000.00	  0.00
R02093	C00002[c] + C00363[c]  <=> C00008[c] + C00459[c] 	IB49_02820	-1000.00	1000.00	  0.00
R02094	C00002[c] + C00364[c]  <=> C00008[c] + C00363[c] 	IB49_10320	-1000.00	1000.00	  0.00
R02096	C00459[c] + C00475[c]  -> C00055[c] + C00080[c] + C00363[c] 	IB49_04610	  0.00	1000.00	  0.00
