Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R00248	C00001[c] + C00006[c] + C00025[c]  <=> C00005[c] + C00014[c] + C00026[c] + 2 C00080[c] 	IB49_02960 or IB49_17540	-1000.00	1000.00	  0.00
R00251	2 C00001[c] + C00002[c] + C01879[c]  -> C00008[c] + C00009[c] + C00025[c] + C00080[c] 	IB49_17855 or IB49_17860	  0.00	1000.00	  0.00
R00253	C00002[c] + C00014[c] + C00025[c]  -> C00008[c] + C00009[c] + C00064[c] 	IB49_16875 or IB49_00155	  0.00	1000.00	  0.00
R00256	C00001[c] + C00064[c]  -> C00014[c] + C00025[c] + C00080[c] 	IB49_02950 or IB49_02335 or IB49_16005 or IB49_16000 or IB49_11725 or IB49_14300	  0.00	1000.00	  0.00
R00259	C00024[c] + C00025[c]  -> C00010[c] + C00080[c] + C00624[c] 	IB49_08965 or IB49_14285 or IB49_05665	  0.00	1000.00	  0.00
R00260	C00025[c]  <=> C00217[c] 	IB49_05215	-1000.00	1000.00	  0.00
R00264	C00001[c] + C00006[c] + C00433[c]  -> C00005[c] + C00026[c] + 2 C00080[c] 	IB49_05715	  0.00	1000.00	  0.00
R00269	C00001[c] + C00940[c]  -> C00014[c] + C00026[c] + C00080[c] 	IB49_15035	  0.00	1000.00	  0.00
R00271	C00001[c] + C00024[c] + C00026[c]  -> C00010[c] + C00080[c] + C01251[c] 	IB49_05170	  0.00	1000.00	  0.00
R00286	C00001[c] + 2 C00003[c] + C00029[c]  -> 2 C00004[c] + 3 C00080[c] + C00167[c] 	IB49_14525 or IB49_09145	  0.00	1000.00	  0.00
R00287	C00001[c] + C00029[c]  -> 2 C00080[c] + C00103[c] + C00105[c] 	IB49_10460	  0.00	1000.00	  0.00
R00289	C00075[c] + C00080[c] + C00103[c]  -> C00013[c] + C00029[c] 	IB49_08890 or IB49_09155	  0.00	1000.00	  0.00
R00291	C00029[c]  <=> C00052[c] 	IB49_09080	-1000.00	1000.00	  0.00
R00299	C00002[c] + C00031[c]  -> C00008[c] + C00080[c] + C00092[c] 	IB49_04020	  0.00	1000.00	  0.00
R00306	C00001[c] + C00185[c]  -> 2 C00031[c] 	IB49_08540	  0.00	1000.00	  0.00
R00310	C02191[c] + C14818[c]  <=> C00032[c] + 2 C00080[c] 	IB49_13585	-1000.00	1000.00	  0.00
R00315	C00002[c] + C00033[c]  <=> C00008[c] + C00227[c] 	IB49_05785	-1000.00	1000.00	  0.00
R00330	C00002[c] + C00035[c]  <=> C00008[c] + C00044[c] 	IB49_02820	-1000.00	1000.00	  0.00
R00332	C00002[c] + C00144[c]  <=> C00008[c] + C00035[c] 	IB49_16065	-1000.00	1000.00	  0.00
R00336	C00001[c] + C01228[c]  -> C00013[c] + C00035[c] + C00080[c] 	IB49_04755	  0.00	1000.00	  0.00
R00341	C00002[c] + C00036[c]  -> C00008[c] + C00011[c] + C00074[c] 	IB49_06130	  0.00	1000.00	  0.00
R00342	C00003[c] + C00149[c]  <=> C00004[c] + C00036[c] + C00080[c] 	IB49_05555	-1000.00	1000.00	  0.00
R00344	C00002[c] + C00022[c] + C00288[c]  -> C00008[c] + C00009[c] + C00036[c] + C00080[c] 	IB49_03790 or IB49_15675	  0.00	1000.00	  0.00
R00348	C00001[c] + C02362[c]  -> C00014[c] + C00036[c] + C00080[c] 	IB49_15035	  0.00	1000.00	  0.00
R00351	C00010[c] + C00080[c] + C00158[c]  <=> C00001[c] + C00024[c] + C00036[c] 	IB49_05565	-1000.00	  0.00	  0.00
R00355	C00026[c] + C00049[c]  <=> C00025[c] + C00036[c] 	IB49_02630 or IB49_06635	-1000.00	1000.00	  0.00
R00357	C00001[c] + C00007[c] + C00049[c]  -> C00014[c] + C00027[c] + C00036[c] + C00080[c] 	IB49_04865	  0.00	1000.00	  0.00
R00371	C00024[c] + C00037[c]  <=> C00010[c] + C03508[c] 	IB49_02360	-1000.00	  0.00	  0.00
R00396	C00001[c] + C00003[c] + C00041[c]  -> C00004[c] + C00014[c] + C00022[c] + 2 C00080[c] 	IB49_05645 or IB49_14860	  0.00	1000.00	  0.00
R00401	C00041[c]  <=> C00133[c] 	IB49_11415	-1000.00	1000.00	  0.00
R00405	C00002[c] + C00010[c] + C00042[c]  <=> C00008[c] + C00009[c] + C00091[c] 	IB49_16275 or IB49_16270	-1000.00	1000.00	  0.00
R00416	C00075[c] + C00080[c] + C04501[c]  <=> C00013[c] + C00043[c] 	IB49_10420	-1000.00	1000.00	  0.00
R00418	C00043[c]  <=> C00203[c] 	IB49_09140	-1000.00	1000.00	  0.00
R00420	C00043[c]  <=> C01170[c] 	IB49_07975	-1000.00	1000.00	  0.00
R00421	C00001[c] + 2 C00003[c] + C00043[c]  -> 2 C00004[c] + 3 C00080[c] + C04573[c] 	IB49_07990	  0.00	1000.00	  0.00
R00425	3 C00001[c] + C00044[c]  -> C00013[c] + C00058[c] + 2 C00080[c] + C01304[c] 	IB49_03265	  0.00	1000.00	  0.00
R00426	C00001[c] + C00044[c]  -> C00013[c] + C00080[c] + C00144[c] 	IB49_05200 or IB49_10460	  0.00	1000.00	  0.00
